=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:02:19 =~=~=~=~=~=~=~=~=~=~=~=
cl alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2842735;10024234
2842761;10024708
2842787;10024993
2842813;10024903
2842839;10024681
2842865;10024723
2842892;10024425
2842918;10024803
2842944;10023978
2842971;10024297
2842996;10024846
2843023;10024946
2843049;10025092
2843076;10025273
2843102;10025633
2843127;10025325
2843154;10025449
2843180;10026059
2843207;10026767
2843233;10027254
2843259;10026676
2843285;10026074
2843311;10026647
2843337;10026265
2843364;10026425
2843390;10026539
2843416;10026567
2843442;10026543
2843468;10026553
2843495;10025884
2843520;10026548
2843547;10026244
2843574;10027359
2843600;10027264
2843625;10026970
2843652;10026652
2843678;10026890
2843705;10026945
2843730;10027569
2843757;10027396
2843783;10027497
2843809;10026965
2843835;10027582
2843862;10026777
2843888;10026969
2843914;10027473
2843941;10026857
2843967;10026230
2843993;10026212
2844019;10026458
2844046;10027140
2844071;10027350
2844098;10026827
2844124;10026705
2844150;10026753
2844176;10027098
2844202;10026639
2844229;10027089
2844255;10026814
2844281;10027572
2844308;10027103
2844333;10027363
2844360;10027236
2844386;10027236
2844412;10027971
2844438;10028292
2844465;10027203
2844491;10026842
2844517;10027534
2844543;10027951
2844570;10026700
2844596;10027449
2844622;10027378
2844648;10027596
2844675;10027307
2844700;10026942
2844727;10027847
2844753;10027729
2844779;10027828
2844806;10027838
2844832;10027180
2844858;10029374
2844884;10026600
2844910;10025809
2844937;10025206
2844962;10025885
2844989;10026329
2845015;10025506
2845042;10025472
2845067;10025126
2845094;10024898
2845120;10025316
2845146;10025131
2845173;10025534
2845198;10025538
2845225;10025273
2845251;10025415
2845277;10025372
2845304;10025927
2845329;10025164
2845356;10025505
2845382;10026481
2845408;10025666
2845435;10025012
2845461;10025591
2845487;10026135
2845513;10025197
2845540;10024676
2845565;10024884
2845592;10025278
2845618;10025396
2845644;10025240
2845671;10025230
2845696;10025505
2845723;10025572
2845749;10025121
2845776;10025737
2845802;10025069
2845828;10025145
2845854;10024860
2845880;10025586
2845907;10025580
2845932;10026671
2845959;10026283
2845985;10026279
2846011;10026339
2846038;10025444
2846064;10025633
2846090;10025089
2846116;10025708
2846142;10025235
2846169;10025349
2846195;10025681
2846221;10024761
2846247;10024959
2846273;10025785
2846300;10024510
2846326;10024538
2846353;10025481
2846378;10024690
2846404;10026132
2846431;10025439
2846457;10025188
2846484;10025956
2846510;10025932
2846535;10026211
2846562;10026060
2846588;10025259
2846614;10026425
2846641;10025894
2846667;10025548
2846693;10027113
2846720;10026396
2846745;10026434
2846771;10026529
2846798;10027279
2846824;10027457
2846850;10026942
2846876;10026895
2846903;10027116
2846929;10027615
2846955;10027268
2846981;10027459
2847008;10027260
2847034;10027046
2847060;10027008
2847086;10027340
2847113;10027606
2847139;10027169
2847165;10027886
2847191;10027601
2847217;10028606
2847243;10028374
2847270;10028961
2847296;10028990
2847322;10029630
2847348;10029678
2847375;10030611
2847401;10031009
2847427;10030711
2847453;10032214
2847480;10032091
2847506;10032646
2847532;10032749
2847558;10032313
2847584;10032612
2847611;10034153
2847636;10034115
2847663;10034693
2847689;10034859
2847716;10034949
2847742;10036173
2847768;10035694
2847794;10035726
2847820;10036993
2847847;10036837
2847872;10036348
2847899;10037030
2847925;10036538
