=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
calibratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2068420;10135359
2068474;10137332
2068526;10139161
2068580;10140175
2068633;10141158
2068686;10141721
2068740;10141042
2068793;10140455
2068847;10139736
2068900;10140706
2068953;10141793
2069006;10142301
2069059;10142774
2069112;10143670
2069166;10144610
2069219;10146042
2069272;10143312
2069326;10142602
2069379;10141593
2069432;10141825
2069485;10142148
2069538;10142450
2069592;10143950
2069645;10144960
2069698;10146131
2069751;10147687
2069805;10147899
2069858;10149302
2069911;10149597
2069965;10149976
2070017;10150355
2070071;10149085
2070124;10147467
2070178;10148957
2070231;10148317
2070284;10149672
2070338;10148952
2070390;10149131
2070443;10149800
2070497;10150237
2070550;10149986
2070603;10151237
2070657;10151923
2070710;10153208
2070763;10153254
2070817;10152718
2070870;10152565
2070923;10150288
2070976;10149495
2071029;10149648
2071083;10150244
2071136;10150838
2071189;10153178
2071242;10154456
2071296;10154983
2071349;10155471
2071402;10155707
2071456;10155908
2071509;10155382
2071562;10155176
2071615;10154263
2071668;10154500
2071722;10155195
2071775;10155333
2071829;10155959
2071881;10156560
2071934;10155466
2071988;10155860
2072041;10156422
2072095;10157229
2072148;10157811
2072201;10157608
2072254;10157480
2072307;10156181
2072361;10155978
2072414;10157185
2072467;10157446
2072520;10156968
2072574;10156770
2072627;10156652
2072680;10157007
2072734;10157475
2072787;10157248
2072840;10156954
2072893;10156756
2072947;10156437
2072999;10157299
2073053;10158012
2073106;10158050
2073160;10159050
2073213;10159912
2073266;10158589
2073319;10157934
2073372;10154551
2073426;10156077
2073479;10157668
2073532;10158328
2073585;10157002
2073639;10158371
2073692;10158898
2073745;10160144
2073798;10160612
2073851;10161857
2073905;10163229
2073958;10162620
2074011;10163398
2074065;10162344
2074118;10162999
2074171;10162929
2074224;10162369
2074278;10162004
2074331;10163200
2074384;10162821
2074438;10163047
2074491;10163373
2074544;10163289
2074597;10163451
2074650;10162984
2074703;10163477
2074757;10163973
2074810;10163649
2074864;10163707
2074917;10163318
2074970;10162190
2075023;10162122
2075076;10162466
2075130;10162364
2075183;10161316
2075236;10162369
2075290;10162142
2075343;10161920
2075396;10163093
2075449;10162953
2075503;10163496
2075556;10163349
2075609;10163308
2075662;10164156
2075716;10163919
2075769;10164663
2075822;10164584
2075875;10163207
2075929;10162965
2075982;10164255
2076035;10164757
2076088;10164728
2076142;10165648
2076195;10165037
2076248;10165047
2076302;10164388
2076355;10161205
2076408;10162398
2076461;10163569
2076514;10163117
